"Event Name","Event Type","Event Code","Event Start Date","Event End Date","Event Start Time","Event End Time","Event Hours","No. of Dates"
新活動,Community,S2315,27/04/2023,29/04/2023,9:00,23:45,42,3
,,,27/04/2023,27/04/2023,9:00,23:45,14,
,,,28/04/2023,28/04/2023,9:00,23:45,14,
,,,29/04/2023,29/04/2023,9:00,23:45,14,
"20230303 Event 1",Community,S2314,03/03/2023,06/03/2023,10:00,23:45,52,4
,,,03/03/2023,03/03/2023,10:00,23:45,13,
,,,04/03/2023,04/03/2023,10:00,23:45,13,
,,,05/03/2023,05/03/2023,10:00,23:45,13,
,,,06/03/2023,06/03/2023,10:00,23:45,13,
gg,Activity,E2302,17/02/2023,17/02/2023,16:45,18:45,2,1
,,,17/02/2023,17/02/2023,16:45,18:45,2,
Test,Community,S2313,17/02/2023,17/02/2023,11:00,13:00,2,1
,,,17/02/2023,17/02/2023,11:00,13:00,2,
"test 2",Other,S2312,13/02/2023,13/02/2023,15:30,22:30,7,1
,,,13/02/2023,13/02/2023,15:30,22:30,7,
Test,Other,S2311,14/02/2023,01/03/2023,9:00,22:00,52,4
,,,14/02/2023,14/02/2023,9:00,22:00,13,
,,,16/02/2023,16/02/2023,9:00,22:00,13,
,,,24/02/2023,24/02/2023,9:00,22:00,13,
,,,01/03/2023,01/03/2023,9:00,22:00,13,
"Test mayE",Community,S2310,10/02/2023,10/02/2023,13:45,15:00,1,1
,,,10/02/2023,10/02/2023,13:45,15:00,1,
test3,Community,S2309,14/02/2023,22/02/2023,9:00,10:00,3,3
,,,14/02/2023,14/02/2023,9:00,10:00,1,
,,,16/02/2023,16/02/2023,9:00,10:00,1,
,,,22/02/2023,22/02/2023,9:00,10:00,1,
test,Headquatters,S2307,15/02/2023,02/03/2023,8:00,13:00,15,3
,,,15/02/2023,15/02/2023,8:00,13:00,5,
,,,17/02/2023,17/02/2023,8:00,13:00,5,
,,,02/03/2023,02/03/2023,8:00,13:00,5,
儀仗,"Guard of honour",S2307,10/02/2023,10/02/2023,10:30,11:30,1,1
,,,10/02/2023,10/02/2023,10:30,11:30,1,
升旗,Community,S2306,10/02/2023,10/02/2023,9:00,10:00,1,1
,,,10/02/2023,10/02/2023,9:00,10:00,1,
"Test Event 4",Community,S2305,22/02/2023,24/02/2023,9:00,10:00,3,3
,,,22/02/2023,22/02/2023,9:00,10:00,1,
,,,23/02/2023,23/02/2023,9:00,10:00,1,
,,,24/02/2023,24/02/2023,9:00,10:00,1,
"Test Event 3",Headquatters,S2204,29/12/2022,29/12/2022,12:00,14:00,2,1
,,,29/12/2022,29/12/2022,12:00,14:00,2,
"Test Service 2",Community,S2203,28/12/2022,04/01/2023,8:00,23:30,120,8
,,,28/12/2022,28/12/2022,8:00,23:30,15,
,,,29/12/2022,29/12/2022,8:00,23:30,15,
,,,30/12/2022,30/12/2022,8:00,23:30,15,
,,,31/12/2022,31/12/2022,8:00,23:30,15,
,,,01/01/2023,01/01/2023,8:00,23:30,15,
,,,02/01/2023,02/01/2023,8:00,23:30,15,
,,,03/01/2023,03/01/2023,8:00,23:30,15,
,,,04/01/2023,04/01/2023,8:00,23:30,15,
"test service",Community,S2202,28/12/2022,28/12/2022,9:00,10:00,1,1
,,,28/12/2022,28/12/2022,9:00,10:00,1,
"20221221 Even1","Guard of honour",S2201,21/12/2022,27/12/2022,9:00,23:00,98,7
,,,21/12/2022,21/12/2022,9:00,23:00,14,
,,,22/12/2022,22/12/2022,9:00,23:00,14,
,,,23/12/2022,23/12/2022,9:00,23:00,14,
,,,24/12/2022,24/12/2022,9:00,23:00,14,
,,,25/12/2022,25/12/2022,9:00,23:00,14,
,,,26/12/2022,26/12/2022,9:00,23:00,14,
,,,27/12/2022,27/12/2022,9:00,23:00,14,
龍舟訓練課程,Activity,E2202,15/09/2022,15/09/2022,8:00,10:00,2,2
,,,15/09/2022,15/09/2022,8:00,10:00,2,